TOA5	ROS_WS	CR3000	4909	CR3000.Std.11	CPU:weather_station_final.CR3	30238	Table05min							
TIMESTAMP	RECORD	PPFD_Avg	AirTC_Avg	RH	WS_ms_Avg	WS_ms_Max	WindDir	NetSW_Avg	NetLW_Avg	NetRad_Avg	LWmV_Avg	LWMDry_Tot	LWMCon_Tot	LWMWet_Tot
TS	RN	mV	Deg C	%	meters/second	meters/second	degrees	W/m^2	W/m^2	W/m^2	mV	Minutes	Minutes	Minutes
		Avg	Avg	Smp	Avg	Max	Smp	Avg	Avg	Avg	Avg	Tot	Tot	Tot
10/10/2011 0:00	91441	-0.017	9.82	82.7	1.275	1.959	1.533	-2.43	-42.68	-45.11	273.9	4	1	0
10/10/2011 0:05	91442	-0.008	9.37	86.6	0.574	0.894	38.53	-3.159	-56.19	-59.35	274.8	0	5	0
10/10/2011 0:10	91443	0	9.64	86.8	0.329	0.494	41.59	-3.283	-56.9	-60.18	276.5	0	5	0
10/10/2011 0:15	91444	0	9.76	87.6	0.457	0.681	41.67	-2.856	-54.36	-57.21	278.7	0	5	0
10/10/2011 0:20	91445	0	9.75	87.7	0.699	0.947	35.36	-2.905	-53.63	-56.53	281.4	0	5	0
10/10/2011 0:25	91446	0	9.62	88.1	0.827	1.027	33.19	-3.05	-53.26	-56.31	284.5	0	1.5	3.5
10/10/2011 0:30	91447	0	9.59	88	0.654	0.787	40.65	-3.282	-52.83	-56.12	287.4	0	0	5
10/10/2011 0:35	91448	0	9.68	87.8	0.579	0.761	32.68	-3.444	-52.64	-56.08	290.5	0	0	5
10/10/2011 0:40	91449	-0.008	9.7	87.7	0.075	0.388	27.19	-3.611	-51.27	-54.88	293.4	0	0	5
10/10/2011 0:45	91450	-0.008	9.66	87.8	0.461	0.654	16.21	-3.435	-50.22	-53.66	296.1	0	0	5
10/10/2011 0:50	91451	0	9.55	88.3	0.278	0.681	19.04	-3.099	-46.06	-49.16	299.7	0	0	5
10/10/2011 0:55	91452	-0.025	9.41	88.9	0.566	0.681	18.28	-2.883	-43.82	-46.71	303.4	0	0	5
10/10/2011 1:00	91453	0	9.33	89.4	1.352	2.145	15.76	-2.443	-41.45	-43.89	306.8	0	0	5
10/10/2011 1:05	91454	-0.008	9.38	89.3	0.982	1.293	16.59	-2.646	-38.23	-40.87	308.6	0	0	5
