"TOA5","WTC01","CR1000","33590","CR1000.Std.19","CPU:WTCsensors_Ch1.CR1","47130","Table1"
"TIMESTAMP","RECORD","VW_Avg(1)","VW_Avg(2)","VW_Avg(3)","SoilTempProbe_Avg(1)","SoilTempProbe_Avg(2)","SoilTempProbe_Avg(3)","SoilTempProbe_Avg(4)","SoilTempProbe_Avg(5)","SoilTempProbe_Avg(6)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","BattV_Min","PTemp"
"TS","RN","","","","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Deg C","Volts",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2011-08-11 09:30:00",14763,0.056,0.05,0.042,9.11,9.1,9.82,11.19,12.12,13.27,9.23,9.81,13.48,9.06
"2011-08-11 09:45:00",14764,0.056,0.05,0.042,9.38,9.29,9.84,11.15,12.1,13.27,9.4,9.98,13.48,10.18
"2011-08-11 10:00:00",14765,0.056,0.049,0.042,9.69,9.46,9.87,11.12,12.06,13.27,9.58,10.19,13.48,11.36
"2011-08-11 10:15:00",14766,0.056,0.049,0.042,10.03,9.66,9.93,11.1,12.05,13.29,9.81,10.42,13.48,12.3
"2011-08-11 10:30:00",14767,0.056,0.049,0.041,10.34,9.88,9.99,11.09,12.04,13.29,10.09,10.66,13.48,12.93
"2011-08-11 10:45:00",14768,0.056,0.049,0.041,10.64,10.14,10.06,11.08,12.02,13.29,10.44,10.88,13.48,13.45
"2011-08-11 11:00:00",14769,0.056,0.049,0.041,10.94,10.35,10.14,11.09,12,13.29,10.81,11.11,13.48,13.97
"2011-08-11 11:15:00",14770,0.056,0.049,0.041,11.21,10.58,10.24,11.1,11.98,13.28,11.12,11.33,13.48,14.71
"2011-08-11 11:30:00",14771,0.056,0.049,0.041,11.41,10.77,10.34,11.13,11.98,13.27,11.35,11.52,13.48,15.34
"2011-08-11 11:45:00",14772,0.056,0.049,0.041,11.66,10.95,10.44,11.17,11.96,13.27,11.5,11.71,13.48,15.9
"2011-08-11 12:00:00",14773,0.056,0.049,0.041,11.94,11.18,10.54,11.21,11.93,13.26,11.66,11.92,13.48,16.39
"2011-08-11 12:15:00",14774,0.056,0.049,0.041,12.19,11.39,10.66,11.24,11.92,13.23,11.81,12.13,13.48,16.94
"2011-08-11 12:30:00",14775,0.056,0.049,0.041,12.39,11.59,10.78,11.26,11.91,13.24,11.96,12.31,13.48,17.24
"2011-08-11 12:45:00",14776,0.056,0.049,0.041,12.54,11.76,10.89,11.31,11.9,13.24,12.08,12.47,13.48,17.26
"2011-08-11 13:00:00",14777,0.056,0.049,0.041,12.67,11.91,11.04,11.35,11.9,13.25,12.19,12.6,13.48,17.54
"2011-08-11 13:15:00",14778,0.056,0.049,0.041,12.88,12.06,11.14,11.38,11.9,13.24,12.3,12.76,13.48,18.2
"2011-08-11 13:30:00",14779,0.056,0.049,0.041,13.06,12.24,11.25,11.45,11.88,13.26,12.43,12.93,13.48,18.89
"2011-08-11 13:45:00",14780,0.056,0.049,0.041,13.27,12.41,11.35,11.5,11.89,13.26,12.57,13.09,13.49,20.24
"2011-08-11 14:00:00",14781,0.056,0.049,0.041,13.47,12.56,11.45,11.54,11.87,13.25,12.71,13.27,13.48,20.93
"2011-08-11 14:15:00",14782,0.056,0.049,0.041,13.62,12.72,11.56,11.6,11.86,13.23,12.85,13.43,13.48,21.72
